Depot,Objective weight,N_Drones, ROI, Profit, Costs, Revenue, Initial Costs
centre depot-0.1,6.0, 827.34, 1102300.17, 1681281.08, 2783581.25, 133234.00,125.0
centre depot-0.1,7.0, 973.57, 1436965.69, 1724846.81, 3161812.50, 147598.00,143.0
centre depot-0.1,8.0, 1064.35, 1723846.51, 1767378.49, 3491225.00, 161962.00,159.0
centre depot-0.1,9.0, 1040.55, 1834760.68, 1806570.57, 3641331.25, 176326.00,168.0
centre depot-0.1,10.0, 1058.64, 2018723.48, 1844801.52, 3863525.00, 190690.00,175.0
centre depot-0.1,11.0, 1032.63, 2117459.13, 1883853.37, 4001312.50, 205054.00,183.0
centre depot-0.1,12.0, 1033.04, 2266674.00, 1922613.50, 4189287.50, 219418.00,191.0
centre depot-0.1,13.0, 990.55, 2315720.49, 1959798.26, 4275518.75, 233782.00,196.0
centre depot-0.1,14.0, 927.19, 2300782.59, 1995267.41, 4296050.00, 248146.00,197.0
centre depot-0.1,15.0, 921.80, 2419829.80, 2033170.20, 4453000.00, 262510.00,204.0
centre depot-0.1,16.0, 854.08, 2364717.59, 2067751.16, 4432468.75, 276874.00,203.0
centre depot-0.1,17.0, 830.87, 2419816.88, 2104358.12, 4524175.00, 291238.00,207.0
